,0,1,2,3,4,5,6,7,8
97,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.046, 'neu': 0.788, 'pos': 0.167, 'compound': 0.9999}",1
98,CHRW,CH Robinson,Industrials,Air Freight & Logistics,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.04, 'neu': 0.725, 'pos': 0.235, 'compound': 1.0}",1
99,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,QQ1,2024,2024-05-09 00:00:00,"{'neg': 0.034, 'neu': 0.745, 'pos': 0.221, 'compound': 1.0}",1
100,CHTR,Charter Communications,Communication Services,Cable & Satellite,QQ1,2024,2024-04-26 00:00:00,"{'neg': 0.038, 'neu': 0.774, 'pos': 0.188, 'compound': 1.0}",1
101,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,QQ1,2024,2024-04-26 00:00:00,"{'neg': 0.024, 'neu': 0.755, 'pos': 0.221, 'compound': 1.0}",1
102,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.018, 'neu': 0.7, 'pos': 0.283, 'compound': 1.0}",1
103,CB,Chubb Limited,Financials,Property & Casualty Insurance,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.08, 'neu': 0.731, 'pos': 0.188, 'compound': 0.9999}",1
104,CHD,Church & Dwight,Consumer Staples,Household Products,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.03, 'neu': 0.71, 'pos': 0.259, 'compound': 1.0}",1
105,CI,Cigna,Health Care,Health Care Services,QQ1,2024,2024-05-15 21:04:09,"{'neg': 0.019, 'neu': 0.739, 'pos': 0.242, 'compound': 1.0}",1
106,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,QQ1,2024,2024-04-26 15:06:09,"{'neg': 0.083, 'neu': 0.689, 'pos': 0.229, 'compound': 0.9999}",1
