ticker,company,sector,sub-sector,quarter,year,date,sentiment scores,compiled sentiment
CNC,Centene Corporation,Health Care,Managed Health Care,QQ1,2024,4/26/2024 0:00,"{'neg': 0.025, 'neu': 0.77, 'pos': 0.205, 'compound': 1.0}",1
CNP,CenterPoint Energy,Utilities,Multi-Utilities,QQ1,2024,4/30/2024 0:00,"{'neg': 0.026, 'neu': 0.735, 'pos': 0.239, 'compound': 1.0}",1
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,QQ1,2024,5/2/2024 0:00,"{'neg': 0.046, 'neu': 0.788, 'pos': 0.167, 'compound': 0.9999}",1
CHRW,CH Robinson,Industrials,Air Freight & Logistics,QQ1,2024,5/1/2024 0:00,"{'neg': 0.04, 'neu': 0.725, 'pos': 0.235, 'compound': 1.0}",1
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,QQ1,2024,5/9/2024 0:00,"{'neg': 0.034, 'neu': 0.745, 'pos': 0.221, 'compound': 1.0}",1
CHTR,Charter Communications,Communication Services,Cable & Satellite,QQ1,2024,4/26/2024 0:00,"{'neg': 0.038, 'neu': 0.774, 'pos': 0.188, 'compound': 1.0}",1
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,QQ1,2024,4/26/2024 0:00,"{'neg': 0.024, 'neu': 0.755, 'pos': 0.221, 'compound': 1.0}",1
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,QQ1,2024,4/24/2024 0:00,"{'neg': 0.018, 'neu': 0.7, 'pos': 0.283, 'compound': 1.0}",1
CB,Chubb Limited,Financials,Property & Casualty Insurance,QQ1,2024,4/24/2024 0:00,"{'neg': 0.08, 'neu': 0.731, 'pos': 0.188, 'compound': 0.9999}",1
CHD,Church & Dwight,Consumer Staples,Household Products,QQ1,2024,5/2/2024 0:00,"{'neg': 0.03, 'neu': 0.71, 'pos': 0.259, 'compound': 1.0}",1
CI,Cigna,Health Care,Health Care Services,QQ1,2024,5/15/2024 21:04,"{'neg': 0.019, 'neu': 0.739, 'pos': 0.242, 'compound': 1.0}",1
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,QQ1,2024,4/26/2024 15:06,"{'neg': 0.083, 'neu': 0.689, 'pos': 0.229, 'compound': 0.9999}",1
CTAS,Cintas,Industrials,Diversified Support Services,QQ1,2024,9/26/2023 16:41,"{'neg': 0.025, 'neu': 0.706, 'pos': 0.269, 'compound': 1.0}",1
CSCO,Cisco,Information Technology,Communications Equipment,QQ1,2024,11/15/2023 19:50,"{'neg': 0.026, 'neu': 0.746, 'pos': 0.228, 'compound': 1.0}",1
C,Citigroup,Financials,Diversified Banks,QQ1,2024,4/12/2024 16:46,"{'neg': 0.031, 'neu': 0.732, 'pos': 0.237, 'compound': 1.0}",1
CFG,Citizens Financial Group,Financials,Regional Banks,QQ1,2024,4/17/2024 14:10,"{'neg': 0.037, 'neu': 0.693, 'pos': 0.27, 'compound': 1.0}",1
CLX,Clorox,Consumer Staples,Household Products,QQ1,2024,11/1/2023 0:00,"{'neg': 0.048, 'neu': 0.744, 'pos': 0.209, 'compound': 1.0}",1
CME,CME Group,Financials,Financial Exchanges & Data,QQ1,2024,4/24/2024 0:00,"{'neg': 0.034, 'neu': 0.737, 'pos': 0.229, 'compound': 1.0}",1
CMS,CMS Energy,Utilities,Multi-Utilities,QQ1,2024,4/25/2024 0:00,"{'neg': 0.02, 'neu': 0.72, 'pos': 0.26, 'compound': 1.0}",1
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,QQ1,2024,4/30/2024 0:00,"{'neg': 0.018, 'neu': 0.732, 'pos': 0.25, 'compound': 1.0}",1
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,QQ1,2024,5/1/2024 0:00,"{'neg': 0.028, 'neu': 0.754, 'pos': 0.219, 'compound': 1.0}",1
CL,Colgate-Palmolive,Consumer Staples,Household Products,QQ1,2024,4/26/2024 0:00,"{'neg': 0.022, 'neu': 0.668, 'pos': 0.31, 'compound': 1.0}",1
CMCSA,Comcast,Communication Services,Cable & Satellite,QQ1,2024,4/25/2024 0:00,"{'neg': 0.02, 'neu': 0.737, 'pos': 0.243, 'compound': 1.0}",1
CMA,Comerica,Financials,Diversified Banks,QQ1,2024,4/18/2024 13:08,"{'neg': 0.042, 'neu': 0.703, 'pos': 0.255, 'compound': 1.0}",1
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,QQ1,2024,10/5/2023 12:36,"{'neg': 0.033, 'neu': 0.706, 'pos': 0.26, 'compound': 1.0}",1
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,QQ1,2024,5/2/2024 0:00,"{'neg': 0.022, 'neu': 0.759, 'pos': 0.218, 'compound': 1.0}",1
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,QQ1,2024,6/30/2023 13:44,"{'neg': 0.019, 'neu': 0.734, 'pos': 0.247, 'compound': 1.0}",1
CEG,Constellation Energy,Utilities,Electric Utilities,QQ1,2024,5/9/2024 0:00,"{'neg': 0.021, 'neu': 0.72, 'pos': 0.26, 'compound': 1.0}",1
COO,CooperCompanies,Health Care,Health Care Supplies,QQ1,2024,2/29/2024 0:00,"{'neg': 0.027, 'neu': 0.698, 'pos': 0.275, 'compound': 1.0}",1
CPRT,Copart,Industrials,Diversified Support Services,QQ1,2024,11/16/2023 22:45,"{'neg': 0.034, 'neu': 0.742, 'pos': 0.224, 'compound': 1.0}",1
GLW,Corning Inc.,Information Technology,Electronic Components,QQ1,2024,4/30/2024 0:00,"{'neg': 0.023, 'neu': 0.741, 'pos': 0.236, 'compound': 1.0}",1
CPAY,Corpay,Financials,Transaction & Payment Processing Services,QQ1,2024,5/9/2024 1:18,"{'neg': 0.033, 'neu': 0.743, 'pos': 0.224, 'compound': 1.0}",1
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,QQ1,2024,5/2/2024 0:00,"{'neg': 0.024, 'neu': 0.78, 'pos': 0.196, 'compound': 1.0}",1
CSGP,CoStar Group,Real Estate,Real Estate Services,QQ1,2024,4/23/2024 23:35,"{'neg': 0.021, 'neu': 0.758, 'pos': 0.221, 'compound': 1.0}",1
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,QQ1,2024,12/14/2023 22:00,"{'neg': 0.024, 'neu': 0.753, 'pos': 0.223, 'compound': 1.0}",1
